node_id,title,subject,published_date,price,level,realSchool,school,Page Rank,community,eigenvector centrality,closness centrality,betweeness centrality,weighted degree,degree,clustering coefficient
n744,"Data, Analytics and Learning",Data Analysis & Statistics,06/02/2014,Free,Introductory,UTArlington,Others,0.00362301,7,0.739854052,0.438348416,1,89,77,0.34962406
n469,Dynamics and Control,Engineering,01/19/2016,1~50,Introductory,UPValencia,UPValencia,0.002959936,11,0.209836524,0.423034934,0.650418853,57,55,0.254545455
n202,Explore Statistics with R,Data Analysis & Statistics,05/22/2015,Free,Introductory,KI,KI,0.003701319,7,1,0.440591245,0.611435204,99,86,0.40875513
n570,Force and Motion: Pedagogical Content Knowledge for Teaching Physics,Education & Teacher Training,09/04/2015,Closed,Advanced,BU,BU,0.00242347,8,0.147702376,0.394803872,0.460940739,49,43,0.330011074
n409,Introduction to Systems Biology,Biology & Life Sciences,01/05/2016,1~50,Introductory,IEEE,IEEE,0.003139779,11,0.386724152,0.417789757,0.458485724,73,68,0.335820896
n56,Enabling Technologies for Data Science and Analytics: The Internet of Things,Data Analysis & Statistics,04/06/2016,101~200,Introductory,Columbia,Columbia,0.002591151,7,0.663040548,0.423728814,0.432593413,55,55,0.573063973
n411,College Algebra and Problem Solving,Math,04/17/2015,1~50,Introductory,ASU,ASU,0.00246214,8,0.159917688,0.395812053,0.430414621,47,44,0.239957717
n128,Management Accounting,Business & Management,03/31/2016,51~100,Intermediate,ACCA,ACCA,0.002718134,6,0.253877481,0.414438503,0.423106388,63,53,0.283744557
n531,Effective Teaching Strategies for Biology,Biology & Life Sciences,11/23/2015,Closed,Intermediate,Trinity,Others,0.002204801,8,0.131350013,0.403645833,0.410909486,40,38,0.241820768
n98,Hospitality and Tourism in China: A Global Perspective,Business & Management,12/08/2015,1~50,Introductory,HKPolyU,HKPolyU,0.002524053,15,0.171302502,0.389643037,0.392719366,47,45,0.296969697
n626,"Relics of Chinese History - Part 3: Writing System, Rites and Music",Art & Culture,08/19/2015,1~50,Introductory,Tsinghua,Tsinghua,0.002705055,15,0.083026618,0.382905138,0.383047308,50,44,0.243128964
n343,Essential Human Biology: Cells and Tissues,Biology & Life Sciences,03/02/2016,1~50,Introductory,Adelaide,Adelaide,0.002869071,0,0.399087303,0.408755274,0.382853935,65,57,0.434837093
n145,"Technological, Social, and Sustainable Systems",Engineering,01/20/2016,1~50,Introductory,ASU,ASU,0.002622117,11,0.226944538,0.423960613,0.378407815,55,51,0.277647059
